"Date","Day","Route","Time","Location","Incident","Direction","Vehicle","Delay"
2024-06-27,"Thursday",90,"21:40:05","MAIN STATION","Vision","W",6050,0
2024-01-14,"Sunday",106,"09:23:02","PARLIAMENT AND BLOOR","General Delay","S",8367,0
2024-07-13,"Saturday",104,"21:34:39","FINCH STATION","Security","E",8322,0
2024-11-01,"Friday",104,"02:55:47","PARLIAMENT AND BLOOR","Mechanical","E",6490,1
2024-04-27,"Saturday",88,"23:10:08","MAIN STATION","Security","N",6035,0
2024-10-25,"Friday",103,"06:25:23","PARLIAMENT AND BLOOR","Vision","N",8113,0
2024-08-16,"Friday",87,"03:47:39","FINCH STATION","Security","E",6087,0
2024-08-31,"Saturday",102,"13:57:39","BLOOR AND MANNING","Mechanical","S",6104,1
2024-01-14,"Sunday",98,"20:54:38","PARLIAMENT AND BLOOR","General Delay","N",6627,0
2024-06-01,"Saturday",97,"01:48:41","PARLIAMENT AND BLOOR","General Delay","N",6458,0
2024-03-30,"Saturday",95,"16:19:26","FINCH STATION","General Delay","E",7865,0
2024-03-31,"Sunday",114,"17:05:23","MAIN STATION","General Delay","S",6921,0
2024-09-12,"Thursday",121,"23:52:05","MAIN STATION","Security","W",6277,0
2024-07-15,"Monday",114,"20:58:49","MAIN STATION","General Delay","N",7036,0
2024-03-31,"Sunday",100,"16:54:54","MAIN STATION","Security","S",6996,0
2024-12-13,"Friday",71,"20:10:52","KEELE AND GLENLAKE","General Delay","W",7224,0
2024-05-16,"Thursday",92,"15:35:59","KEELE AND GLENLAKE","Security","N",8533,0
2024-12-20,"Friday",111,"20:31:57","PARLIAMENT AND BLOOR","Mechanical","N",6807,1
2024-11-23,"Saturday",86,"23:02:07","KEELE AND GLENLAKE","Security","S",6312,0
2024-01-26,"Friday",87,"19:12:46","FINCH STATION","Security","E",6782,0
2024-01-07,"Sunday",84,"23:31:01","PARLIAMENT AND BLOOR","Mechanical","E",6314,1
2024-05-16,"Thursday",92,"02:16:56","MAIN STATION","Mechanical","S",6574,1
2024-09-10,"Tuesday",111,"10:17:40","MAIN STATION","Security","N",5914,1
2024-07-29,"Monday",99,"19:01:39","FINCH STATION","Security","N",7002,0
2024-03-18,"Monday",94,"07:09:53","KEELE AND GLENLAKE","Vision","N",7726,0
2024-03-21,"Thursday",114,"17:02:57","BLOOR AND MANNING","General Delay","E",7896,0
2024-02-12,"Monday",101,"10:19:36","FINCH STATION","Mechanical","W",6011,1
2024-12-24,"Tuesday",96,"21:05:24","KEELE AND GLENLAKE","Mechanical","E",6491,1
2024-11-27,"Wednesday",110,"09:16:59","BLOOR AND MANNING","Security","N",7113,0
2024-05-22,"Wednesday",111,"23:02:58","PARLIAMENT AND BLOOR","Vision","S",6205,0
2024-02-01,"Thursday",90,"11:39:53","BLOOR AND MANNING","Mechanical","N",6863,1
2024-04-18,"Thursday",98,"17:24:28","FINCH STATION","Mechanical","S",7847,1
2024-09-19,"Thursday",105,"17:12:25","PARLIAMENT AND BLOOR","Mechanical","E",8004,1
2024-11-25,"Monday",102,"22:04:31","FINCH STATION","Security","N",7930,0
2024-01-23,"Tuesday",110,"21:42:42","KEELE AND GLENLAKE","Mechanical","S",6852,1
2024-11-04,"Monday",100,"11:29:35","BLOOR AND MANNING","General Delay","N",5953,0
2024-05-14,"Tuesday",110,"06:36:09","PARLIAMENT AND BLOOR","Security","W",7275,0
2024-11-04,"Monday",88,"04:45:56","KEELE AND GLENLAKE","Mechanical","N",7272,1
2024-08-11,"Sunday",112,"16:58:05","KEELE AND GLENLAKE","Mechanical","S",6318,1
2024-06-14,"Friday",91,"02:52:09","MAIN STATION","Security","S",5523,1
2024-08-04,"Sunday",116,"13:39:55","KEELE AND GLENLAKE","Vision","S",5931,0
2024-10-16,"Wednesday",103,"13:27:48","PARLIAMENT AND BLOOR","General Delay","N",6496,0
2024-03-09,"Saturday",91,"03:50:16","MAIN STATION","Vision","E",7156,0
2024-03-12,"Tuesday",100,"00:47:09","PARLIAMENT AND BLOOR","Vision","W",7516,1
2024-03-16,"Saturday",98,"12:11:42","BLOOR AND MANNING","Security","S",7085,0
2024-03-03,"Sunday",106,"06:27:09","BLOOR AND MANNING","Mechanical","S",5769,1
2024-05-20,"Monday",121,"12:19:21","PARLIAMENT AND BLOOR","Security","E",5565,0
2024-07-28,"Sunday",84,"21:11:14","FINCH STATION","Mechanical","E",7342,1
2024-12-18,"Wednesday",103,"13:04:43","BLOOR AND MANNING","Mechanical","E",7439,1
2024-12-12,"Thursday",89,"00:56:39","BLOOR AND MANNING","Mechanical","E",7075,1
2024-06-01,"Saturday",94,"20:14:50","MAIN STATION","Mechanical","E",7560,1
2024-10-20,"Sunday",104,"09:21:51","BLOOR AND MANNING","Mechanical","N",7117,1
2024-10-03,"Thursday",98,"12:06:31","KEELE AND GLENLAKE","Mechanical","E",7005,1
2024-02-10,"Saturday",89,"12:54:22","KEELE AND GLENLAKE","Security","N",6106,0
2024-03-30,"Saturday",106,"03:54:20","PARLIAMENT AND BLOOR","Security","E",7719,0
