"Date","Route","Time","Day","Incident","Direction","Vehicle","delay"
"2024/1/1","89",02:08:00,"Monday","Vision","N",7107,1
"2024/1/1","39",02:30:00,"Monday","General Delay",NA,8914,1
"2024/1/1","300",03:13:00,"Monday","General Delay",NA,8562,0
"2024/1/1","65",03:23:00,"Monday","Security","N",8574,0
"2024/1/1","113",03:37:00,"Monday","Security",NA,8541,0
"2024/1/1","320",03:40:00,"Monday","Operations - Operator","N",8192,1
"2024/1/1","171",04:00:00,"Monday","General Delay","S",1402,1
"2024/1/1","12",04:02:00,"Monday","Emergency Services","N",8616,1
"2024/1/1","300",04:11:00,"Monday","Security","W",3335,1
"2024/1/1","127",04:15:00,"Monday","Utilized Off Route","W",8133,0
"2024/1/1","64",04:23:00,"Monday","Cleaning - Unsanitary","E",8453,1
"2024/1/1","25",05:00:00,"Monday","Security","W",8625,0
"2024/1/1","600",05:07:00,"Monday","Cleaning - Unsanitary",NA,8798,1
"2024/1/1","300",05:38:00,"Monday","Emergency Services",NA,3330,0
"2024/1/1","19",05:52:00,"Monday","Emergency Services","N",8498,1
"2024/1/1","300",06:06:00,"Monday","Security","E",8562,0
"2024/1/1","300",06:19:00,"Monday","Diversion","W",8579,1
"2024/1/1","35",06:23:00,"Monday","General Delay","S",1119,1
"2024/1/1","168",06:49:00,"Monday","Diversion","S",7221,1
"2024/1/1","600",06:51:00,"Monday","Security","W",3338,1
"2024/1/1","39",07:09:00,"Monday","Mechanical","W",3163,1
"2024/1/1","51",07:14:00,"Monday","Mechanical","N",3111,1
"2024/1/1","54",07:21:00,"Monday","Mechanical","E",8756,1
"2024/1/1","41",07:21:00,"Monday","Diversion",NA,7251,1
"2024/1/1","85",07:21:00,"Monday","Security",NA,3495,1
"2024/1/1","900",07:47:00,"Monday","Security","S",3338,1
"2024/1/1","93",07:56:00,"Monday","Operations - Operator","S",8643,1
"2024/1/1",NA,08:08:00,"Monday","Operations - Operator",NA,0,0
"2024/1/1","12",08:18:00,"Monday","Emergency Services",NA,8408,1
"2024/1/1","54",08:29:00,"Monday","Mechanical","W",8803,1
"2024/1/1","7",08:36:00,"Monday","Mechanical","N",8386,1
"2024/1/1","935",08:39:00,"Monday","Operations - Operator","N",1101,1
"2024/1/1","75",09:02:00,"Monday","Emergency Services","N",8564,1
"2024/1/1","34",09:06:00,"Monday","Mechanical","W",8777,1
"2024/1/1","900",09:21:00,"Monday","Operations - Operator",NA,3341,1
"2024/1/1","66",09:32:00,"Monday","Mechanical",NA,3329,1
"2024/1/1","97",09:51:00,"Monday","Cleaning - Unsanitary","S",3516,1
"2024/1/1","122",09:52:00,"Monday","Mechanical","W",1618,1
"2024/1/1","87",09:56:00,"Monday","General Delay",NA,8579,1
"2024/1/1","54",10:27:00,"Monday","Mechanical","E",8823,1
"2024/1/1","131",10:33:00,"Monday","Mechanical","E",3420,1
"2024/1/1","96",11:03:00,"Monday","Security",NA,3580,1
"2024/1/1","112",11:24:00,"Monday","Operations - Operator","N",8123,1
"2024/1/1","86",11:36:00,"Monday","Diversion","W",1326,0
"2024/1/1","52",11:40:00,"Monday","Mechanical","S",1366,1
"2024/1/1","95",11:43:00,"Monday","Diversion","W",1277,1
"2024/1/1","26",11:50:00,"Monday","Diversion","W",8086,1
"2024/1/1","86",12:01:00,"Monday","Collision - TTC","W",3648,1
"2024/1/1","960",12:12:00,"Monday","Operations - Operator","E",8360,1
"2024/1/1","60",12:45:00,"Monday","Collision - TTC",NA,8305,1
"2024/1/1","84",13:14:00,"Monday","Mechanical","E",3582,1
"2024/1/1","41",13:50:00,"Monday","Mechanical","N",7222,1
"2024/1/1","50",14:22:00,"Monday","Security","W",8080,1
"2024/1/1","32",14:39:00,"Monday","Cleaning - Unsanitary","W",7281,1
"2024/1/1","131",14:39:00,"Monday","Cleaning - Unsanitary","W",1357,1
"2024/1/1","123",14:49:00,"Monday","Mechanical","S",8059,1
"2024/1/1","106",14:54:00,"Monday","Mechanical",NA,8352,1
"2024/1/1","61",15:02:00,"Monday","Diversion",NA,0,1
"2024/1/1","7",15:22:00,"Monday","Cleaning - Unsanitary","W",8191,1
"2024/1/1","45",16:27:00,"Monday","Security","S",7219,1
"2024/1/1","169",16:32:00,"Monday","Operations - Operator","W",1240,1
"2024/1/1","102",16:50:00,"Monday","Mechanical","S",3423,1
"2024/1/1","11",17:15:00,"Monday","Emergency Services","N",8748,1
"2024/1/1","42",17:20:00,"Monday","Mechanical","E",3215,1
"2024/1/1","59",17:22:00,"Monday","Operations - Operator","W",3515,1
"2024/1/1","96",17:25:00,"Monday","Mechanical","E",3577,1
"2024/1/1","111",17:47:00,"Monday","Mechanical","N",7931,1
"2024/1/1","67",18:13:00,"Monday","Diversion","N",8792,1
"2024/1/1","38",18:38:00,"Monday","Mechanical","W",1298,1
"2024/1/1",NA,19:00:00,"Monday","Utilized Off Route",NA,8491,0
"2024/1/1","600",19:04:00,"Monday","Mechanical","E",1353,1
"2024/1/1","19",19:09:00,"Monday","Diversion","N",8588,1
"2024/1/1","116",19:18:00,"Monday","Diversion","E",1318,1
"2024/1/1","165",19:53:00,"Monday","Diversion",NA,8920,1
"2024/1/1","189",19:54:00,"Monday","Operations - Operator","W",8151,1
"2024/1/1","84",19:54:00,"Monday","Operations - Operator","E",3573,1
"2024/1/1","12",19:56:00,"Monday","Cleaning - Unsanitary","E",8614,1
"2024/1/1","39",20:00:00,"Monday","Mechanical","W",3135,1
"2024/1/1","53",20:09:00,"Monday","Mechanical","W",3307,1
"2024/1/1","95",20:30:00,"Monday","Security","E",1249,1
"2024/1/1","108",21:02:00,"Monday","Investigation","W",8878,1
"2024/1/1","96",21:18:00,"Monday","Mechanical","W",3584,1
"2024/1/1","70",21:26:00,"Monday","Diversion","N",8577,0
"2024/1/1","52",21:47:00,"Monday","Operations - Operator","W",9208,1
"2024/1/1","46",22:11:00,"Monday","Emergency Services","E",8037,1
"2024/1/1","903",22:25:00,"Monday","Emergency Services","E",9096,1
"2024/1/1","57",22:29:00,"Monday","Mechanical","S",3210,1
"2024/1/1","169",22:47:00,"Monday","Diversion","S",1242,1
"2024/1/1","131",22:47:00,"Monday","Diversion","N",3405,1
"2024/1/1","61",22:55:00,"Monday","Diversion","N",0,1
"2024/1/1","129",22:57:00,"Monday","Diversion","S",3104,1
"2024/1/1","130",22:57:00,"Monday","Diversion","S",1321,1
"2024/1/1","132",22:57:00,"Monday","Diversion","W",1606,1
"2024/1/1","134",23:02:00,"Monday","Diversion","N",3401,1
"2024/1/1","97",23:37:00,"Monday","Cleaning - Unsanitary","N",3519,1
"2024/1/1","79",23:47:00,"Monday","Mechanical","N",1019,1
"2024/1/1","108",23:47:00,"Monday","Operations - Operator","W",8878,1
"2024/1/1","62",00:33:00,"Monday","Emergency Services","S",8553,1
"2024/1/1","40",00:44:00,"Monday","Diversion","E",8131,1
"2024/1/1","11",01:36:00,"Monday","Security",NA,8685,1
"2024/1/2","47",02:23:00,"Tuesday","Security","N",8308,0
"2024/1/2","25",02:37:00,"Tuesday","Security","N",8699,1
"2024/1/2","320",03:21:00,"Tuesday","Emergency Services","N",3138,1
"2024/1/2","320",04:11:00,"Tuesday","Cleaning - Unsanitary","S",8368,1
"2024/1/2","300",04:33:00,"Tuesday","Security",NA,8587,0
"2024/1/2","74",04:38:00,"Tuesday","Operations - Operator","S",8813,1
"2024/1/2","74",04:38:00,"Tuesday","Operations - Operator",NA,8813,1
"2024/1/2","52",04:43:00,"Tuesday","Operations - Operator",NA,8960,1
"2024/1/2","334",04:44:00,"Tuesday","Emergency Services",NA,8635,0
"2024/1/2","36",04:49:00,"Tuesday","Mechanical","S",9125,1
"2024/1/2","52",04:53:00,"Tuesday","Operations - Operator",NA,0,1
"2024/1/2","935",05:07:00,"Tuesday","Mechanical","S",1067,1
"2024/1/2","76",05:24:00,"Tuesday","Operations - Operator",NA,0,1
"2024/1/2","111",05:25:00,"Tuesday","Operations - Operator",NA,0,1
"2024/1/2","937",05:27:00,"Tuesday","Operations - Operator",NA,0,1
"2024/1/2","47",05:29:00,"Tuesday","Mechanical","W",8384,1
"2024/1/2","34",05:31:00,"Tuesday","Operations - Operator",NA,8683,1
"2024/1/2","116",05:41:00,"Tuesday","Mechanical","E",1334,1
"2024/1/2","960",05:43:00,"Tuesday","Mechanical","W",8352,1
"2024/1/2","77",05:43:00,"Tuesday","Operations - Operator","S",3326,1
"2024/1/2","36",05:44:00,"Tuesday","Mechanical",NA,9122,1
"2024/1/2","84",05:44:00,"Tuesday","Operations - Operator",NA,3538,1
"2024/1/2","110",05:45:00,"Tuesday","Operations - Operator",NA,0,1
"2024/1/2","77",05:52:00,"Tuesday","Operations - Operator","S",8144,1
"2024/1/2","36",05:52:00,"Tuesday","Operations - Operator","W",3538,1
"2024/1/2","25",05:53:00,"Tuesday","Operations - Operator","S",8749,1
"2024/1/2","24",06:03:00,"Tuesday","Mechanical","S",3718,1
"2024/1/2","47",06:09:00,"Tuesday","Mechanical","N",8173,1
"2024/1/2","47",06:09:00,"Tuesday","Mechanical","S",8173,1
"2024/1/2","68",06:14:00,"Tuesday","Operations - Operator","N",3126,1
"2024/1/2","7",06:18:00,"Tuesday","Diversion","S",0,1
"2024/1/2","129",06:20:00,"Tuesday","Mechanical","N",8909,1
"2024/1/2","165",06:21:00,"Tuesday","Operations - Operator",NA,8883,1
"2024/1/2","160",06:22:00,"Tuesday","Diversion","S",0,1
"2024/1/2","7",06:24:00,"Tuesday","Diversion","S",0,1
